Store No,Store Name,Address,Postcode,Latitude,Longitude
336,Tredegar,"24 Gwent Shopping Centre, Tredegar",NP22 3EJ,51.774934,-3.245283
337,Billingham,"59 Queensway, Billingham",TS23 2ND,54.607417,-1.292522
339,Pontypridd,"81 Taff Street, Pontypridd",CF37 4SU,51.602506,-3.340078
340,Blackwood,"143 High Street, Blackwood",NP12 1AB,51.66669,-3.19513
341,Fakenham,"8 Millers Walk, Fakenham",NR21 9AP,52.829448,0.849171
342,Burnley,"3/5 Howe Walk Charter Walk Shopping Centre, Burnley",BB11 1BA,53.789699,-2.243553
344,Kingswood,"Unit 2A, Kings Chase Shopping Centre, Regent Street, Kingswood",BS15 8LP,51.463073,-2.508785
347,Manchester Arndale Barbirolli Mall,"58 Barbirolli Mall Arndale Centre, Manchester",M4 3AB,53.483153,-2.241382
349,Derby,"35 East Street, Derby",DE1 2AL,52.920886,-1.474988
350,Folkestone,"23/25 Sandgate Road, Folkestone",CT20 1SB,51.079533,1.180481
352,Clevedon,"6 Triangle Centre, Clevedon",BS21 6HX,51.435362,-2.852366
353,Daventry,"6 Bowen Square, Daventry",NN11 4DR,52.257258,-1.161705
355,Gillingham,"102-104 High Street, Gillingham",ME7 1AX,51.387454,0.545702
357,Hove,"43 George Street, Hove",BN3 3YB,50.830271,-0.172983
359,Dunstable,"Unit 28, Broadwalk South Quadrant Shopping Centre, Dunstable",LU5 4RH,51.887143,-0.520545
360,Workington,"10 Risman Place, Workington",CA14 3DU,54.643322,-3.544439
362,Prescot,"Unit 13, Prescot Shopping Centre, Prescot",L34 5GA,53.428845,-2.803755
364,Kings Lynn,"Unit SU7A, Vancouver Shopping Centre, Kings",PE30 1DP,52.754434,0.397487
365,Basingstoke,"8 - 9 Hampstead House, Basingstoke",RG21 7LG,51.26577,-1.087899
366,Wednesbury,"57 Union Street, Wednesbury",WS10 7HB,52.552641,-2.021499
367,Swadlincote,"27 High Street, Swadlincote",DE11 8JE,52.773518,-1.555811
368,St Neots,"17 High Street, St Neots",PE19 1BU,52.228257,-0.268447
371,Galashiels,"76 Channel Street, Galashiels",TD1 1BD,55.616059,-2.806635
372,Boston Strait Bargate,"21 Strait Bargate, Boston",PE21 6EE,52.979144,-0.022726
373,Morley,"76 Queen Street, Morley",LS27 9BP,53.745073,-1.601171
374,Exmouth,"Unit 15, Chapel Street, Magnolia Centre, Exmouth",EX8 1HW,50.620075,-3.411956
375,Abergavenny,"65 Frogmore Street, Abergavenny",NP7 5AU,51.823045,-3.019618
376,Dumbarton,"44 High Street, Dumbarton",G82 1LL,55.943289,-4.569291
377,Liverpool Bold Street,"3 Bold Street, Liverpool",L1 4DJ,53.404238,-2.980212
378,Canvey Island,"23 Furtherwick Road, Canvey",SS8 1AB,51.522049,0.589276
380,Camborne,"10 Commercial Square, Camborne",TR14 8DZ,50.213912,-5.299159
381,Newton Abbot,"28 Courtenay Street, Newton",TQ12 2DT,50.529776,-3.611098
382,Dundee Murraygate,"26 Murraygate, Dundee",DD1 2AZ,56.462386,-2.969022
383,Skegness,"Unit 11, Hildred Shopping Centre, Skegness",PE25 3NR,53.142231,0.338661
384,Bishops Stortford,"3 South Street, Bishops",CM23 3AB,51.869254,0.160845
